Place,Team,Games %,Streak,Split,Year,Wins,Losses
1,⁠⁠SK Gaming,83.0,7W,Spring,2015,15,3
2,⁠⁠Fnatic,72.0,2W,Spring,2015,13,5
3,⁠⁠H2k-Gaming,67.0,1W,Spring,2015,12,6
4,⁠⁠Gambit Gaming,56.0,1L,Spring,2015,10,8
5,⁠⁠Unicorns of Love,50.0,2L,Spring,2015,9,9
6,⁠⁠Copenhagen Wolves,44.0,1L,Spring,2015,8,10
7,⁠⁠Elements,39.0,1L,Spring,2015,7,11
8,⁠⁠Team ROCCAT,33.0,2L,Spring,2015,6,12
9,⁠⁠Giants Gaming,28.0,1W,Spring,2015,5,13
10,⁠⁠MeetYourMakers,28.0,1W,Spring,2015,5,13
1,⁠⁠Fnatic,100.0,18W,Summer,2015,18,0
2,⁠⁠Origen,67.0,1L,Summer,2015,12,6
3,⁠⁠H2k-Gaming,61.0,1W,Summer,2015,11,7
4,⁠⁠Unicorns of Love,50.0,1L,Summer,2015,9,9
5,⁠⁠Team ROCCAT,44.0,1W,Summer,2015,8,10
6,⁠⁠Giants Gaming,44.0,1W,Summer,2015,8,10
7,⁠⁠Elements,39.0,1L,Summer,2015,7,11
8,⁠⁠Gambit Gaming,39.0,3L,Summer,2015,7,11
9,⁠⁠SK Gaming,33.0,1W,Summer,2015,6,12
10,⁠⁠Copenhagen Wolves,22.0,1L,Summer,2015,4,14
1,⁠⁠G2 Esports,83.0,7W,Spring,2016,15,3
2,⁠⁠H2k-Gaming,78.0,1W,Spring,2016,14,4
3,⁠⁠Team Vitality,72.0,1W,Spring,2016,13,5
4,⁠⁠Origen,61.0,4W,Spring,2016,11,7
5,⁠⁠Unicorns of Love,56.0,1L,Spring,2016,10,8
6,⁠⁠Fnatic,50.0,3L,Spring,2016,9,9
7,⁠⁠Elements,33.0,1L,Spring,2016,6,12
8,⁠⁠Splyce,28.0,3L,Spring,2016,5,13
9,⁠⁠Team ROCCAT,22.0,1L,Spring,2016,4,14
10,⁠⁠Giants Gaming,17.0,1W,Spring,2016,3,15
1,⁠⁠G2 Esports,78.0,1W,Summer,2016,28,8
2,⁠⁠Splyce,67.0,1L,Summer,2016,24,12
3,⁠⁠Giants Gaming,53.0,1W,Summer,2016,19,17
4,⁠⁠H2k-Gaming,56.0,2W,Summer,2016,20,16
5,⁠⁠Fnatic,56.0,1L,Summer,2016,20,16
6,⁠⁠Unicorns of Love,47.0,1W,Summer,2016,17,19
7,⁠⁠Team Vitality,42.0,2D,Summer,2016,15,21
8,⁠⁠Schalke 04,42.0,2D,Summer,2016,15,21
9,⁠⁠Origen,33.0,2L,Summer,2016,12,24
10,⁠⁠Team ROCCAT,28.0,1L,Summer,2016,10,26
1,⁠⁠G2 Esports,76.0,1L,,2017,25,8
2,⁠⁠Misfits Gaming,61.0,1L,,2017,19,12
3,⁠⁠Fnatic,47.0,1W,,2017,17,19
4,⁠⁠Team ROCCAT,45.0,6W,,2017,14,17
5,⁠⁠Giants Gaming,25.0,4L,,2017,8,24
1,⁠⁠Unicorns of Love,74.0,6W,,2017,23,8
2,⁠⁠H2k-Gaming,73.0,3W,,2017,22,8
3,⁠⁠Splyce,57.0,2L,,2017,17,13
4,⁠⁠Team Vitality,30.0,3L,,2017,9,21
5,⁠⁠Origen,7.0,13L,,2017,2,26
1,⁠⁠Fnatic,79.0,1W,,2017,23,6
2,⁠⁠G2 Esports,61.0,2L,,2017,20,13
3,⁠⁠Misfits Gaming,44.0,1L,,2017,14,18
4,⁠⁠Team ROCCAT,42.0,2W,,2017,14,19
5,⁠⁠Ninjas in Pyjamas,24.0,1W,,2017,7,22
1,⁠⁠H2k-Gaming,72.0,1L,,2017,21,8
2,⁠⁠Unicorns of Love,60.0,1W,,2017,21,14
3,⁠⁠Splyce,55.0,1W,,2017,16,13
4,⁠⁠Team Vitality,41.0,1L,,2017,12,17
5,⁠⁠Mysterious Monkeys,18.0,5L,,2017,5,23
1,⁠⁠Fnatic,78.0,5W,Spring,2018,14,4
2,⁠⁠G2 Esports,61.0,2W,Spring,2018,11,7
3,⁠⁠Splyce,61.0,1W,Spring,2018,11,7
4,⁠⁠Team Vitality,56.0,1L,Spring,2018,10,8
5,⁠⁠H2k-Gaming,44.0,2W,Spring,2018,8,10
6,⁠⁠Team ROCCAT,44.0,1L,Spring,2018,8,10
7,⁠⁠Misfits Gaming,44.0,1W,Spring,2018,8,10
8,⁠⁠Schalke 04,39.0,2L,Spring,2018,7,11
9,⁠⁠Giants Gaming,39.0,2L,Spring,2018,7,11
10,⁠⁠Unicorns of Love,33.0,4L,Spring,2018,6,12
1,⁠⁠Fnatic,72.0,1L,Summer,2018,13,5
2,⁠⁠Team Vitality,67.0,3W,Summer,2018,12,6
3,⁠⁠Schalke 04,67.0,1L,Summer,2018,12,6
4,⁠⁠G2 Esports,67.0,1L,Summer,2018,12,6
5,⁠⁠Misfits Gaming,61.0,3L,Summer,2018,11,7
6,⁠⁠Splyce,50.0,1W,Summer,2018,9,9
7,⁠⁠Team ROCCAT,39.0,1W,Summer,2018,7,11
7,⁠⁠Unicorns of Love,39.0,3W,Summer,2018,7,11
